GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_1355: Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,v_CA16_1364: English,v_CA16_2060: Cantonese,v_CA16_2066: Mandarin,v_CA16_2153: English and non-official language,v_CA16_1916: Punjabi (Panjabi),v_CA16_1937: Persian (Farsi),v_CA16_1973: Korean,"v_CA16_1727: Tagalog (Pilipino, Filipino)"
9330001.01,CT,Vancouver,1.01953,6293,2334,2314,6135,4020,585,160,535,25,15,135,145
9330001.02,CT,Vancouver,2.02898,5456,2132,2089,5365,3000,805,370,450,25,40,85,115
9330002.01,CT,Vancouver,2.02909,6150,2631,2507,6090,3790,940,200,485,65,5,40,70
9330002.03,CT,Vancouver,0.78516,4077,1497,1292,4080,1670,1215,165,475,195,0,5,80
9330002.04,CT,Vancouver,0.84513,4509,1652,1560,4310,2480,610,95,405,165,15,5,70
9330003.01,CT,Vancouver,0.54316,3714,1210,1080,3705,1420,435,55,575,630,0,10,210
9330003.02,CT,Vancouver,1.19645,4613,1429,1316,4405,1675,285,55,765,890,5,5,265
9330004.01,CT,Vancouver,1.63291,4925,2537,1928,4725,2215,830,495,575,155,10,40,110
9330004.02,CT,Vancouver,1.24706,5652,1847,1689,5520,2125,485,120,895,1005,5,10,360
9330005.00,CT,Vancouver,1.59397,7302,4444,4326,7305,4755,225,465,660,5,35,50,385
9330006.01,CT,Vancouver,0.91749,4699,1784,1687,4685,2180,890,770,420,30,15,20,75
9330006.02,CT,Vancouver,1.09361,5233,1925,1827,5060,2315,950,850,435,30,25,45,60
9330007.01,CT,Vancouver,2.84304,5543,2373,2157,5545,3185,650,815,440,15,15,45,45
9330007.02,CT,Vancouver,1.41849,3452,1256,1153,3455,2005,385,645,240,5,5,20,5
9330008.01,CT,Musqueam 2,3.19919,1652,615,578,1650,1510,20,35,15,0,0,15,0
9330008.02,CT,Vancouver,3.74406,4200,1619,1495,4200,3135,205,475,210,10,15,35,0
9330009.00,CT,Vancouver,1.6647,7103,3440,3199,7085,4380,410,1265,440,0,25,175,10
9330010.01,CT,Vancouver,1.41537,5352,2389,2212,5355,2565,845,955,450,25,30,105,30
9330010.02,CT,Vancouver,1.39303,4741,1760,1647,4640,2075,800,865,405,70,40,65,20
9330011.00,CT,Vancouver,1.5728,6615,2642,2310,6615,3105,585,280,860,855,10,25,290
9330012.00,CT,Vancouver,1.54279,8102,3337,2904,8095,4590,945,480,840,285,20,40,290
9330013.01,CT,Vancouver,1.14038,6485,2398,2155,6485,2800,1300,165,825,330,5,5,295
9330013.03,CT,Vancouver,0.62391,4981,1727,1562,4980,1990,480,115,755,815,5,5,235
9330013.04,CT,Vancouver,0.47728,3635,1243,1102,3635,1425,860,120,465,300,0,10,135
9330014.01,CT,Vancouver,0.50408,3084,1117,1015,3080,1060,1150,140,305,45,0,5,95
9330014.02,CT,Vancouver,0.80703,5980,2232,2056,5965,2145,2215,270,575,70,10,10,205
9330015.01,CT,Vancouver,0.93135,5485,2017,1734,5480,2520,1270,335,515,145,10,45,170
9330015.02,CT,Vancouver,1.34265,6246,2319,2052,5925,2695,1555,265,610,175,0,35,205
9330016.01,CT,Vancouver,0.67646,5257,1918,1767,5170,2180,1190,260,645,85,5,20,180
9330016.04,CT,Vancouver,0.93633,7370,2846,2622,7345,3590,1030,310,965,190,15,40,430
9330016.05,CT,Vancouver,0.54272,4764,2005,1815,4765,2140,585,190,740,115,5,35,360
9330016.06,CT,Vancouver,0.12378,4889,3239,2448,4890,2255,650,515,565,10,25,115,195
9330017.01,CT,Vancouver,1.15993,7535,2909,2647,7525,3245,1975,330,880,110,0,50,220
9330017.02,CT,Vancouver,0.85474,6632,2482,2291,6580,2920,1525,270,780,80,5,40,265
9330018.01,CT,Vancouver,0.90264,6933,2535,2300,6915,2855,1920,265,800,110,0,10,230
9330018.02,CT,Vancouver,0.98795,6958,2668,2402,6925,4005,855,135,785,160,10,10,370
9330019.00,CT,Vancouver,1.84676,4882,2160,1924,4760,3135,495,265,325,25,10,10,120
9330020.00,CT,Vancouver,1.39343,2700,912,842,2410,1380,315,335,180,5,5,30,10
9330021.00,CT,Vancouver,2.21041,3684,1370,1230,3670,2540,205,605,165,15,15,10,5
9330022.00,CT,Vancouver,0.31932,3062,1792,1681,3065,2015,185,385,190,5,10,40,5
9330023.00,CT,Vancouver,1.20023,4227,1558,1367,4070,2845,295,525,210,10,5,25,0
9330024.00,CT,Vancouver,1.7023,5787,2241,1986,5790,4220,250,825,285,5,15,10,5
9330025.00,CT,Vancouver,1.98912,7420,2993,2692,7330,5315,285,1010,330,5,20,50,5
9330026.00,CT,Vancouver,1.25934,4675,1926,1760,4675,3020,420,715,245,15,15,15,10
9330027.01,CT,Vancouver,1.27204,4074,1561,1434,4070,2165,415,965,270,0,25,35,0
9330027.02,CT,Vancouver,1.03066,3787,1541,1387,3785,1940,325,935,215,5,25,120,0
9330028.00,CT,Vancouver,1.4746,3063,1284,1163,3060,2070,150,505,160,15,10,5,10
9330029.00,CT,Vancouver,1.50157,6798,3011,2779,6570,5210,290,290,320,25,45,25,10
9330030.00,CT,Vancouver,1.45623,6896,2772,2586,6860,5220,500,180,385,60,5,5,160
9330031.01,CT,Vancouver,0.89854,6156,2805,2546,6135,5200,265,140,210,10,5,0,35
9330031.02,CT,Vancouver,0.69343,4621,1962,1779,4610,3320,450,55,315,15,10,5,100
9330032.00,CT,Vancouver,1.24197,9098,3901,3619,9085,6185,1000,130,630,45,5,25,235
9330033.01,CT,Vancouver,0.68227,5187,2072,1914,5175,3425,525,55,420,95,15,10,220
9330033.02,CT,Vancouver,0.44716,3136,1143,1020,3135,1530,620,80,375,40,0,15,160
9330034.01,CT,Vancouver,0.67336,5221,1932,1784,5195,2455,1290,85,530,85,5,5,145
9330034.02,CT,Vancouver,1.37365,7294,2650,2487,7110,4225,1215,150,560,45,0,10,130
9330035.01,CT,Vancouver,0.72093,4298,1701,1535,4300,2260,875,130,390,20,10,30,115
9330035.02,CT,Vancouver,1.54494,7002,2845,2634,6900,3845,1225,255,535,40,10,35,110
9330036.01,CT,Vancouver,1.36961,6222,2215,2087,6125,2785,1685,200,610,40,0,30,125
9330036.02,CT,Vancouver,1.46931,6140,2225,2046,6115,3040,1305,235,650,65,10,25,130
9330037.01,CT,Vancouver,0.60169,4960,2215,2017,4905,3830,300,45,230,10,5,5,120
9330037.02,CT,Vancouver,0.51895,3680,1694,1599,3625,2860,220,30,210,0,5,10,55
9330038.00,CT,Vancouver,0.58903,5817,3024,2899,5655,4725,115,35,315,5,5,10,125
9330039.01,CT,Vancouver,0.71415,5896,3578,3369,5885,5315,35,60,160,5,0,10,45
9330039.02,CT,Vancouver,0.6033,5794,3098,2986,5445,4315,155,150,260,0,35,35,30
9330040.01,CT,Vancouver,0.27049,4106,2990,2844,4105,3560,40,95,100,5,25,30,10
9330040.02,CT,Vancouver,0.3166,4601,3003,2953,4580,4100,75,35,115,0,30,5,5
9330041.01,CT,Vancouver,0.38099,4450,2868,2774,4335,3845,40,60,130,0,40,10,5
9330041.02,CT,Vancouver,1.0012,7411,3965,3697,7390,6200,120,275,240,0,30,60,10
9330042.00,CT,Vancouver,1.08738,6482,2964,2640,6485,5440,110,300,200,0,25,25,15
9330043.01,CT,Vancouver,0.71126,4040,1908,1673,4040,3050,115,445,180,0,45,35,0
9330043.02,CT,Vancouver,0.99667,4333,1760,1596,4330,3180,120,615,180,5,10,20,5
9330044.00,CT,Vancouver,2.84822,4700,2273,2112,4695,3725,90,375,205,5,45,10,0
9330045.01,CT,Vancouver,0.67288,4803,2598,2364,4770,4245,10,65,130,5,10,0,5
9330045.02,CT,Vancouver,0.73341,5870,2990,2780,5860,5160,35,90,170,5,20,20,0
9330046.00,CT,Vancouver,0.49188,5158,3195,3057,5155,4545,30,60,140,5,25,5,0
9330047.01,CT,Vancouver,0.33248,3662,2444,2264,3510,3240,15,5,60,5,10,15,0
9330047.02,CT,Vancouver,0.39158,4102,2796,2682,4100,3735,5,25,80,0,15,5,5
9330048.00,CT,Vancouver,1.21983,7932,5085,4775,7925,6975,70,155,215,0,25,35,0
9330049.01,CT,Vancouver,1.55085,13855,8528,7726,13615,11530,255,385,465,5,75,175,30
9330049.02,CT,Vancouver,0.85075,5968,3249,3143,5835,5080,55,30,150,0,15,30,5
9330050.02,CT,Vancouver,0.68133,6238,3642,3475,6215,5100,170,90,305,5,10,40,95
9330050.03,CT,Vancouver,1.29301,6079,3841,3679,5940,5260,80,20,180,5,5,20,80
9330050.04,CT,Vancouver,0.30664,3148,2015,1874,3105,2455,70,25,180,0,0,10,90
9330051.01,CT,Vancouver,0.54428,3389,1413,1312,3385,2585,355,30,135,0,0,10,15
9330051.02,CT,Vancouver,0.75497,4671,1843,1739,4590,2495,1045,120,425,10,15,25,65
9330052.01,CT,Vancouver,1.26046,6112,2449,2223,6005,2865,1435,260,600,40,25,10,120
9330052.02,CT,Vancouver,1.32557,6272,2370,2216,6145,3465,1405,120,495,15,10,15,70
9330053.01,CT,Vancouver,2.62482,6548,2641,2461,6540,4290,1140,65,425,0,5,10,55
9330053.02,CT,Vancouver,0.79811,3508,1515,1393,3445,2455,420,35,205,10,10,10,55
9330054.01,CT,Vancouver,0.58596,4066,1739,1618,3990,3120,440,20,160,10,0,5,5
9330054.02,CT,Vancouver,0.79274,4476,1686,1575,4475,2745,925,80,300,15,5,5,20
9330055.01,CT,Vancouver,0.80452,5407,2750,2612,5385,4060,540,60,255,5,20,5,55
9330055.02,CT,Vancouver,0.65244,4381,2550,2439,4365,3605,275,35,150,0,5,5,45
9330056.01,CT,Vancouver,1.12857,4142,2511,2401,4145,3625,160,25,80,0,10,0,15
9330056.02,CT,Vancouver,0.66725,4545,2441,2297,4515,4105,60,20,115,0,5,5,0
9330057.01,CT,Vancouver,0.23107,3082,1665,1475,2965,1695,715,145,115,0,10,0,5
9330057.02,CT,Vancouver,1.62618,4980,2467,2227,4715,3270,810,100,160,10,5,5,10
9330058.00,CT,Vancouver,1.13316,4203,2292,2089,3265,2590,290,145,95,5,0,0,10
9330059.06,CT,Vancouver,0.6125,7695,4982,4377,6610,5580,220,85,190,0,30,35,10
9330059.07,CT,Vancouver,0.26016,4896,3059,2668,4895,3545,125,235,245,0,320,75,10
9330059.08,CT,Vancouver,0.34509,6976,3840,3449,6975,4830,310,250,440,0,250,80,20
9330059.09,CT,Vancouver,0.19984,6911,4861,4509,6665,5165,75,225,320,0,120,105,5
9330059.10,CT,Vancouver,0.19921,6298,4309,3924,6220,4865,85,175,325,5,100,140,15
9330059.11,CT,Vancouver,0.7706,7163,5202,4256,7050,5210,95,300,355,10,155,250,10
9330059.13,CT,Vancouver,0.31895,4753,2960,2596,4580,3315,170,190,235,0,85,180,10
9330059.14,CT,Vancouver,0.59079,8833,5328,4861,8735,6375,265,285,540,10,265,190,15
9330060.01,CT,Vancouver,0.14833,3124,2174,2058,3125,2530,10,25,150,0,50,15,15
9330060.02,CT,Vancouver,0.23171,5986,4109,3987,5990,4850,45,30,240,0,90,50,10
