GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_1355: Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,v_CA16_1364: English,v_CA16_2060: Cantonese,v_CA16_2066: Mandarin,v_CA16_2153: English and non-official language,v_CA16_1916: Punjabi (Panjabi),v_CA16_1937: Persian (Farsi),v_CA16_1973: Korean,"v_CA16_1727: Tagalog (Pilipino, Filipino)"
59150004004,DB,West Vancouver,0.01235,35,16,15,x,x,x,x,x,x,x,x,x
59150004005,DB,West Vancouver,0.02046,50,27,24,x,x,x,x,x,x,x,x,x
59150004006,DB,West Vancouver,0.01629,94,39,39,x,x,x,x,x,x,x,x,x
59150004011,DB,West Vancouver,0.01214,0,0,0,x,x,x,x,x,x,x,x,x
59150004012,DB,West Vancouver,0.00198,0,0,0,x,x,x,x,x,x,x,x,x
59150004013,DB,West Vancouver,0.01311,0,0,0,x,x,x,x,x,x,x,x,x
59150004014,DB,West Vancouver,0.00166,0,0,0,x,x,x,x,x,x,x,x,x
59150004017,DB,West Vancouver,0.02188,0,0,0,x,x,x,x,x,x,x,x,x
59150004018,DB,West Vancouver,0.70721,189,89,80,x,x,x,x,x,x,x,x,x
59150004019,DB,West Vancouver,0.0452,0,1,1,x,x,x,x,x,x,x,x,x
59150005003,DB,West Vancouver,0.03407,88,37,32,x,x,x,x,x,x,x,x,x
59150005007,DB,West Vancouver,0.01323,24,11,10,x,x,x,x,x,x,x,x,x
59150005015,DB,West Vancouver,0.00384,0,0,0,x,x,x,x,x,x,x,x,x
59150005016,DB,West Vancouver,0.02092,74,34,32,x,x,x,x,x,x,x,x,x
59150005017,DB,West Vancouver,0.09392,317,139,131,x,x,x,x,x,x,x,x,x
59150006004,DB,West Vancouver,0.00935,29,8,8,x,x,x,x,x,x,x,x,x
59150006005,DB,West Vancouver,0.00385,10,2,2,x,x,x,x,x,x,x,x,x
59150006006,DB,West Vancouver,0.0242,93,31,31,x,x,x,x,x,x,x,x,x
59150006007,DB,West Vancouver,0.01419,32,15,15,x,x,x,x,x,x,x,x,x
59150006010,DB,West Vancouver,0.05831,107,47,46,x,x,x,x,x,x,x,x,x
59150006011,DB,West Vancouver,0.04603,161,97,94,x,x,x,x,x,x,x,x,x
59150007002,DB,West Vancouver,0.01094,15,7,7,x,x,x,x,x,x,x,x,x
59150007006,DB,West Vancouver,0.34935,198,91,84,x,x,x,x,x,x,x,x,x
59150007007,DB,West Vancouver,0.07308,108,39,38,x,x,x,x,x,x,x,x,x
59150007008,DB,West Vancouver,0.25074,146,57,56,x,x,x,x,x,x,x,x,x
59150007009,DB,West Vancouver,0.02674,79,27,27,x,x,x,x,x,x,x,x,x
59150008003,DB,West Vancouver,0.00595,72,34,27,x,x,x,x,x,x,x,x,x
59150008006,DB,West Vancouver,0.19188,215,77,73,x,x,x,x,x,x,x,x,x
59150008007,DB,West Vancouver,0.11505,20,9,8,x,x,x,x,x,x,x,x,x
59150008008,DB,West Vancouver,0.10871,111,50,45,x,x,x,x,x,x,x,x,x
59150008009,DB,West Vancouver,0.23009,178,77,71,x,x,x,x,x,x,x,x,x
59150009001,DB,West Vancouver,0.02747,23,12,11,x,x,x,x,x,x,x,x,x
59150009002,DB,West Vancouver,0.03192,41,15,14,x,x,x,x,x,x,x,x,x
59150009003,DB,West Vancouver,0.20673,172,60,57,x,x,x,x,x,x,x,x,x
59150009008,DB,West Vancouver,0.13052,100,33,32,x,x,x,x,x,x,x,x,x
59150009009,DB,West Vancouver,0.00648,10,3,3,x,x,x,x,x,x,x,x,x
59150009018,DB,West Vancouver,0.0312,0,0,0,x,x,x,x,x,x,x,x,x
59150009019,DB,West Vancouver,0.00353,0,0,0,x,x,x,x,x,x,x,x,x
59150009021,DB,West Vancouver,0.10899,53,20,19,x,x,x,x,x,x,x,x,x
59150009022,DB,West Vancouver,0.02303,0,0,0,x,x,x,x,x,x,x,x,x
59150010001,DB,West Vancouver,0.08775,147,55,53,x,x,x,x,x,x,x,x,x
59150010003,DB,West Vancouver,0.01436,34,12,12,x,x,x,x,x,x,x,x,x
59150010004,DB,West Vancouver,0.05583,145,49,49,x,x,x,x,x,x,x,x,x
59150010005,DB,West Vancouver,0.02152,30,14,13,x,x,x,x,x,x,x,x,x
59150010011,DB,West Vancouver,0.00252,0,0,0,x,x,x,x,x,x,x,x,x
59150010012,DB,West Vancouver,0.00324,0,0,0,x,x,x,x,x,x,x,x,x
59150010013,DB,West Vancouver,0.60524,475,184,171,x,x,x,x,x,x,x,x,x
59150010014,DB,West Vancouver,0.01482,0,0,0,x,x,x,x,x,x,x,x,x
59150012001,DB,West Vancouver,0.14104,162,61,58,x,x,x,x,x,x,x,x,x
59150012005,DB,West Vancouver,0.07418,36,13,13,x,x,x,x,x,x,x,x,x
59150012006,DB,West Vancouver,0.18373,314,108,102,x,x,x,x,x,x,x,x,x
59150012009,DB,West Vancouver,0.00577,0,0,0,x,x,x,x,x,x,x,x,x
59150012010,DB,West Vancouver,0.02127,0,0,0,x,x,x,x,x,x,x,x,x
59150012012,DB,West Vancouver,0.02296,0,0,0,x,x,x,x,x,x,x,x,x
59150013001,DB,West Vancouver,0.07106,112,34,33,x,x,x,x,x,x,x,x,x
59150013002,DB,West Vancouver,0.14417,162,58,55,x,x,x,x,x,x,x,x,x
59150013003,DB,West Vancouver,0.05763,86,30,30,x,x,x,x,x,x,x,x,x
59150014003,DB,West Vancouver,0.58028,0,0,0,x,x,x,x,x,x,x,x,x
59150014005,DB,West Vancouver,0.81975,0,2,0,x,x,x,x,x,x,x,x,x
59150014007,DB,West Vancouver,0.00519,0,0,0,x,x,x,x,x,x,x,x,x
59150014010,DB,West Vancouver,0.49248,0,0,0,x,x,x,x,x,x,x,x,x
59150014011,DB,West Vancouver,0.00192,0,0,0,x,x,x,x,x,x,x,x,x
59150014012,DB,West Vancouver,0.03379,15,5,5,x,x,x,x,x,x,x,x,x
59150014013,DB,West Vancouver,0.00965,0,0,0,x,x,x,x,x,x,x,x,x
59150014015,DB,West Vancouver,0.00139,0,0,0,x,x,x,x,x,x,x,x,x
59150014016,DB,West Vancouver,0.00135,0,0,0,x,x,x,x,x,x,x,x,x
59150014017,DB,West Vancouver,0.00208,0,0,0,x,x,x,x,x,x,x,x,x
59150014020,DB,West Vancouver,29.72178,1055,448,408,x,x,x,x,x,x,x,x,x
59150014021,DB,West Vancouver,0.00869,0,0,0,x,x,x,x,x,x,x,x,x
59150014022,DB,West Vancouver,0.00297,0,0,0,x,x,x,x,x,x,x,x,x
59150014023,DB,West Vancouver,0.02957,0,0,0,x,x,x,x,x,x,x,x,x
59150014024,DB,West Vancouver,0.41174,0,0,0,x,x,x,x,x,x,x,x,x
59150014025,DB,West Vancouver,0.00176,0,0,0,x,x,x,x,x,x,x,x,x
59150015001,DB,West Vancouver,0.15419,138,46,43,x,x,x,x,x,x,x,x,x
59150015002,DB,West Vancouver,0.18316,243,95,88,x,x,x,x,x,x,x,x,x
59150015003,DB,West Vancouver,0.06308,114,39,35,x,x,x,x,x,x,x,x,x
59150016003,DB,West Vancouver,0.21342,289,105,92,x,x,x,x,x,x,x,x,x
59150016004,DB,West Vancouver,0.03714,36,17,17,x,x,x,x,x,x,x,x,x
59150016005,DB,West Vancouver,0.05075,88,27,26,x,x,x,x,x,x,x,x,x
59150017003,DB,West Vancouver,0.02537,26,15,11,x,x,x,x,x,x,x,x,x
59150017005,DB,West Vancouver,0.0243,24,9,9,x,x,x,x,x,x,x,x,x
59150017009,DB,West Vancouver,0.29745,252,97,91,x,x,x,x,x,x,x,x,x
59150018001,DB,West Vancouver,0.01687,28,11,11,x,x,x,x,x,x,x,x,x
59150018005,DB,West Vancouver,0.02222,52,25,25,x,x,x,x,x,x,x,x,x
59150018006,DB,West Vancouver,0.01286,26,10,10,x,x,x,x,x,x,x,x,x
59150018007,DB,West Vancouver,0.01717,29,10,10,x,x,x,x,x,x,x,x,x
59150018008,DB,West Vancouver,0.11739,99,42,34,x,x,x,x,x,x,x,x,x
59150018009,DB,West Vancouver,0.0801,75,31,30,x,x,x,x,x,x,x,x,x
59150018010,DB,West Vancouver,0.15703,188,88,78,x,x,x,x,x,x,x,x,x
59150018011,DB,West Vancouver,0.01924,44,17,16,x,x,x,x,x,x,x,x,x
59150019001,DB,West Vancouver,0.04755,73,27,24,x,x,x,x,x,x,x,x,x
59150019002,DB,West Vancouver,0.15041,188,67,67,x,x,x,x,x,x,x,x,x
59150019003,DB,West Vancouver,0.05996,48,20,18,x,x,x,x,x,x,x,x,x
59150019004,DB,West Vancouver,0.02162,0,0,0,x,x,x,x,x,x,x,x,x
59150019005,DB,West Vancouver,0.20189,237,87,82,x,x,x,x,x,x,x,x,x
59150019006,DB,West Vancouver,0.02055,36,15,13,x,x,x,x,x,x,x,x,x
